2026-08-24 00:28:29,692 - __main__ - INFO - Hand Summary: [{'hand_index': 0, 'handedness': 'Left', 'landmark_confidence': 0.72, 'landmarks_preview': [{'point_id': 0, 'x': 0.819, 'y': 1.072, 'z': 0.0}, {'point_id': 1, 'x': 0.761, 'y': 1.051, 'z': 0.017}, {'point_id': 2, 'x': 0.722, 'y': 0.986, 'z': 0.033}, {'point_id': 3, 'x': 0.698, 'y': 0.928, 'z': 0.045}, {'point_id': 4, 'x': 0.681, 'y': 0.891, 'z': 0.056}, {'point_id': 5, 'x': 0.734, 'y': 0.803, 'z': 0.065}, {'point_id': 6, 'x': 0.712, 'y': 0.686, 'z': 0.083}, {'point_id': 7, 'x': 0.697, 'y': 0.624, 'z': 0.089}, {'point_id': 8, 'x': 0.686, 'y': 0.583, 'z': 0.091}, {'point_id': 9, 'x': 0.782, 'y': 0.768, 'z': 0.056}, {'point_id': 10, 'x': 0.771, 'y': 0.613, 'z': 0.073}, {'point_id': 11, 'x': 0.771, 'y': 0.531, 'z': 0.077}, {'point_id': 12, 'x': 0.769, 'y': 0.462, 'z': 0.079}, {'point_id': 13, 'x': 0.826, 'y': 0.77, 'z': 0.044}, {'point_id': 14, 'x': 0.814, 'y': 0.628, 'z': 0.05}, {'point_id': 15, 'x': 0.807, 'y': 0.542, 'z': 0.047}, {'point_id': 16, 'x': 0.803, 'y': 0.472, 'z': 0.047}, {'point_id': 17, 'x': 0.878, 'y': 0.811, 'z': 0.032}, {'point_id': 18, 'x': 0.878, 'y': 0.693, 'z': 0.037}, {'point_id': 19, 'x': 0.872, 'y': 0.626, 'z': 0.041}, {'point_id': 20, 'x': 0.866, 'y': 0.566, 'z': 0.044}], 'gesture_preview': [{'category_name': 'Open_Palm', 'confidence': 0.56}]}]
2026-08-24 00:28:30,043 - __main__ - INFO - Hand Summary: [{'hand_index': 0, 'handedness': 'Left', 'landmark_confidence': 0.96, 'landmarks_preview': [{'point_id': 0, 'x': 0.803, 'y': 0.864, 'z': 0.0}, {'point_id': 1, 'x': 0.724, 'y': 0.823, 'z': -0.027}, {'point_id': 2, 'x': 0.657, 'y': 0.751, 'z': -0.041}, {'point_id': 3, 'x': 0.607, 'y': 0.695, 'z': -0.055}, {'point_id': 4, 'x': 0.567, 'y': 0.642, 'z': -0.068}, {'point_id': 5, 'x': 0.704, 'y': 0.531, 'z': -0.008}, {'point_id': 6, 'x': 0.676, 'y': 0.406, 'z': -0.026}, {'point_id': 7, 'x': 0.662, 'y': 0.329, 'z': -0.045}, {'point_id': 8, 'x': 0.654, 'y': 0.258, 'z': -0.061}, {'point_id': 9, 'x': 0.747, 'y': 0.504, 'z': -0.013}, {'point_id': 10, 'x': 0.724, 'y': 0.362, 'z': -0.025}, {'point_id': 11, 'x': 0.714, 'y': 0.271, 'z': -0.041}, {'point_id': 12, 'x': 0.707, 'y': 0.193, 'z': -0.054}, {'point_id': 13, 'x': 0.791, 'y': 0.507, 'z': -0.024}, {'point_id': 14, 'x': 0.776, 'y': 0.374, 'z': -0.038}, {'point_id': 15, 'x': 0.77, 'y': 0.291, 'z': -0.049}, {'point_id': 16, 'x': 0.764, 'y': 0.215, 'z': -0.058}, {'point_id': 17, 'x': 0.836, 'y': 0.537, 'z': -0.039}, {'point_id': 18, 'x': 0.833, 'y': 0.431, 'z': -0.052}, {'point_id': 19, 'x': 0.83, 'y': 0.36, 'z': -0.058}, {'point_id': 20, 'x': 0.827, 'y': 0.29, 'z': -0.062}], 'gesture_preview': [{'category_name': 'Open_Palm', 'confidence': 0.57}]}]
2026-08-24 00:28:30,394 - __main__ - INFO - Hand Summary: [{'hand_index': 0, 'handedness': 'Left', 'landmark_confidence': 0.95, 'landmarks_preview': [{'point_id': 0, 'x': 0.837, 'y': 0.865, 'z': 0.0}, {'point_id': 1, 'x': 0.755, 'y': 0.825, 'z': -0.028}, {'point_id': 2, 'x': 0.68, 'y': 0.743, 'z': -0.044}, {'point_id': 3, 'x': 0.626, 'y': 0.682, 'z': -0.059}, {'point_id': 4, 'x': 0.584, 'y': 0.627, 'z': -0.073}, {'point_id': 5, 'x': 0.734, 'y': 0.51, 'z': -0.016}, {'point_id': 6, 'x': 0.705, 'y': 0.376, 'z': -0.036}, {'point_id': 7, 'x': 0.691, 'y': 0.294, 'z': -0.056}, {'point_id': 8, 'x': 0.681, 'y': 0.218, 'z': -0.072}, {'point_id': 9, 'x': 0.779, 'y': 0.48, 'z': -0.021}, {'point_id': 10, 'x': 0.756, 'y': 0.328, 'z': -0.036}, {'point_id': 11, 'x': 0.745, 'y': 0.231, 'z': -0.052}, {'point_id': 12, 'x': 0.738, 'y': 0.148, 'z': -0.066}, {'point_id': 13, 'x': 0.826, 'y': 0.486, 'z': -0.032}, {'point_id': 14, 'x': 0.813, 'y': 0.344, 'z': -0.048}, {'point_id': 15, 'x': 0.807, 'y': 0.255, 'z': -0.06}, {'point_id': 16, 'x': 0.801, 'y': 0.175, 'z': -0.069}, {'point_id': 17, 'x': 0.875, 'y': 0.519, 'z': -0.047}, {'point_id': 18, 'x': 0.873, 'y': 0.401, 'z': -0.062}, {'point_id': 19, 'x': 0.87, 'y': 0.323, 'z': -0.068}, {'point_id': 20, 'x': 0.865, 'y': 0.248, 'z': -0.073}], 'gesture_preview': [{'category_name': 'Open_Palm', 'confidence': 0.55}]}]
2026-08-24 00:28:30,745 - __main__ - INFO - Hand Summary: [{'hand_index': 0, 'handedness': 'Left', 'landmark_confidence': 0.95, 'landmarks_preview': [{'point_id': 0, 'x': 0.876, 'y': 0.885, 'z': 0.0}, {'point_id': 1, 'x': 0.789, 'y': 0.833, 'z': -0.035}, {'point_id': 2, 'x': 0.711, 'y': 0.745, 'z': -0.053}, {'point_id': 3, 'x': 0.652, 'y': 0.68, 'z': -0.069}, {'point_id': 4, 'x': 0.606, 'y': 0.619, 'z': -0.085}, {'point_id': 5, 'x': 0.765, 'y': 0.5, 'z': -0.015}, {'point_id': 6, 'x': 0.733, 'y': 0.355, 'z': -0.039}, {'point_id': 7, 'x': 0.719, 'y': 0.266, 'z': -0.062}, {'point_id': 8, 'x': 0.712, 'y': 0.181, 'z': -0.08}, {'point_id': 9, 'x': 0.815, 'y': 0.469, 'z': -0.02}, {'point_id': 10, 'x': 0.791, 'y': 0.303, 'z': -0.038}, {'point_id': 11, 'x': 0.782, 'y': 0.197, 'z': -0.059}, {'point_id': 12, 'x': 0.777, 'y': 0.103, 'z': -0.075}, {'point_id': 13, 'x': 0.866, 'y': 0.474, 'z': -0.032}, {'point_id': 14, 'x': 0.853, 'y': 0.319, 'z': -0.052}, {'point_id': 15, 'x': 0.848, 'y': 0.221, 'z': -0.067}, {'point_id': 16, 'x': 0.844, 'y': 0.13, 'z': -0.078}, {'point_id': 17, 'x': 0.919, 'y': 0.508, 'z': -0.048}, {'point_id': 18, 'x': 0.916, 'y': 0.387, 'z': -0.067}, {'point_id': 19, 'x': 0.913, 'y': 0.303, 'z': -0.075}, {'point_id': 20, 'x': 0.912, 'y': 0.219, 'z': -0.081}], 'gesture_preview': [{'category_name': 'Open_Palm', 'confidence': 0.57}]}]
2026-08-24 00:28:31,097 - __main__ - INFO - Hand Summary: [{'hand_index': 0, 'handedness': 'Left', 'landmark_confidence': 0.97, 'landmarks_preview': [{'point_id': 0, 'x': 0.883, 'y': 0.922, 'z': 0.0}, {'point_id': 1, 'x': 0.795, 'y': 0.892, 'z': -0.038}, {'point_id': 2, 'x': 0.716, 'y': 0.809, 'z': -0.057}, {'point_id': 3, 'x': 0.656, 'y': 0.741, 'z': -0.074}, {'point_id': 4, 'x': 0.605, 'y': 0.679, 'z': -0.09}, {'point_id': 5, 'x': 0.759, 'y': 0.552, 'z': -0.02}, {'point_id': 6, 'x': 0.724, 'y': 0.409, 'z': -0.044}, {'point_id': 7, 'x': 0.706, 'y': 0.32, 'z': -0.067}, {'point_id': 8, 'x': 0.696, 'y': 0.236, 'z': -0.085}, {'point_id': 9, 'x': 0.806, 'y': 0.515, 'z': -0.024}, {'point_id': 10, 'x': 0.777, 'y': 0.348, 'z': -0.042}, {'point_id': 11, 'x': 0.764, 'y': 0.241, 'z': -0.062}, {'point_id': 12, 'x': 0.756, 'y': 0.147, 'z': -0.077}, {'point_id': 13, 'x': 0.857, 'y': 0.517, 'z': -0.035}, {'point_id': 14, 'x': 0.838, 'y': 0.358, 'z': -0.056}, {'point_id': 15, 'x': 0.831, 'y': 0.258, 'z': -0.07}, {'point_id': 16, 'x': 0.825, 'y': 0.165, 'z': -0.081}, {'point_id': 17, 'x': 0.91, 'y': 0.549, 'z': -0.05}, {'point_id': 18, 'x': 0.904, 'y': 0.426, 'z': -0.07}, {'point_id': 19, 'x': 0.9, 'y': 0.343, 'z': -0.079}, {'point_id': 20, 'x': 0.898, 'y': 0.261, 'z': -0.085}], 'gesture_preview': [{'category_name': 'Open_Palm', 'confidence': 0.58}]}]
2026-08-24 00:28:31,448 - __main__ - INFO - Hand Summary: [{'hand_index': 0, 'handedness': 'Left', 'landmark_confidence': 0.96, 'landmarks_preview': [{'point_id': 0, 'x': 0.801, 'y': 0.958, 'z': 0.0}, {'point_id': 1, 'x': 0.721, 'y': 0.922, 'z': -0.031}, {'point_id': 2, 'x': 0.648, 'y': 0.842, 'z': -0.046}, {'point_id': 3, 'x': 0.592, 'y': 0.776, 'z': -0.06}, {'point_id': 4, 'x': 0.548, 'y': 0.72, 'z': -0.073}, {'point_id': 5, 'x': 0.69, 'y': 0.607, 'z': -0.012}, {'point_id': 6, 'x': 0.658, 'y': 0.471, 'z': -0.031}, {'point_id': 7, 'x': 0.642, 'y': 0.388, 'z': -0.051}, {'point_id': 8, 'x': 0.631, 'y': 0.309, 'z': -0.067}, {'point_id': 9, 'x': 0.735, 'y': 0.574, 'z': -0.016}, {'point_id': 10, 'x': 0.709, 'y': 0.42, 'z': -0.03}, {'point_id': 11, 'x': 0.698, 'y': 0.322, 'z': -0.046}, {'point_id': 12, 'x': 0.692, 'y': 0.237, 'z': -0.06}, {'point_id': 13, 'x': 0.781, 'y': 0.576, 'z': -0.026}, {'point_id': 14, 'x': 0.765, 'y': 0.431, 'z': -0.042}, {'point_id': 15, 'x': 0.757, 'y': 0.338, 'z': -0.054}, {'point_id': 16, 'x': 0.749, 'y': 0.254, 'z': -0.064}, {'point_id': 17, 'x': 0.831, 'y': 0.604, 'z': -0.04}, {'point_id': 18, 'x': 0.827, 'y': 0.491, 'z': -0.056}, {'point_id': 19, 'x': 0.823, 'y': 0.414, 'z': -0.062}, {'point_id': 20, 'x': 0.82, 'y': 0.34, 'z': -0.068}], 'gesture_preview': [{'category_name': 'Open_Palm', 'confidence': 0.58}]}]
2026-08-24 00:28:31,800 - __main__ - INFO - Hand Summary: [{'hand_index': 0, 'handedness': 'Left', 'landmark_confidence': 0.95, 'landmarks_preview': [{'point_id': 0, 'x': 0.754, 'y': 0.979, 'z': 0.0}, {'point_id': 1, 'x': 0.684, 'y': 0.948, 'z': -0.029}, {'point_id': 2, 'x': 0.622, 'y': 0.878, 'z': -0.042}, {'point_id': 3, 'x': 0.574, 'y': 0.82, 'z': -0.054}, {'point_id': 4, 'x': 0.537, 'y': 0.764, 'z': -0.065}, {'point_id': 5, 'x': 0.657, 'y': 0.672, 'z': -0.01}, {'point_id': 6, 'x': 0.63, 'y': 0.553, 'z': -0.026}, {'point_id': 7, 'x': 0.617, 'y': 0.482, 'z': -0.043}, {'point_id': 8, 'x': 0.608, 'y': 0.414, 'z': -0.057}, {'point_id': 9, 'x': 0.696, 'y': 0.644, 'z': -0.012}, {'point_id': 10, 'x': 0.674, 'y': 0.511, 'z': -0.024}, {'point_id': 11, 'x': 0.665, 'y': 0.426, 'z': -0.038}, {'point_id': 12, 'x': 0.66, 'y': 0.351, 'z': -0.05}, {'point_id': 13, 'x': 0.736, 'y': 0.647, 'z': -0.02}, {'point_id': 14, 'x': 0.723, 'y': 0.519, 'z': -0.033}, {'point_id': 15, 'x': 0.718, 'y': 0.439, 'z': -0.044}, {'point_id': 16, 'x': 0.713, 'y': 0.365, 'z': -0.053}, {'point_id': 17, 'x': 0.778, 'y': 0.671, 'z': -0.032}, {'point_id': 18, 'x': 0.773, 'y': 0.573, 'z': -0.045}, {'point_id': 19, 'x': 0.771, 'y': 0.506, 'z': -0.051}, {'point_id': 20, 'x': 0.77, 'y': 0.441, 'z': -0.055}], 'gesture_preview': [{'category_name': 'Open_Palm', 'confidence': 0.6}]}]
2026-08-24 00:28:32,150 - __main__ - INFO - Hand Summary: [{'hand_index': 0, 'handedness': 'Left', 'landmark_confidence': 0.95, 'landmarks_preview': [{'point_id': 0, 'x': 0.749, 'y': 0.916, 'z': 0.0}, {'point_id': 1, 'x': 0.685, 'y': 0.881, 'z': -0.026}, {'point_id': 2, 'x': 0.629, 'y': 0.806, 'z': -0.038}, {'point_id': 3, 'x': 0.588, 'y': 0.745, 'z': -0.049}, {'point_id': 4, 'x': 0.553, 'y': 0.693, 'z': -0.059}, {'point_id': 5, 'x': 0.663, 'y': 0.623, 'z': -0.011}, {'point_id': 6, 'x': 0.639, 'y': 0.513, 'z': -0.028}, {'point_id': 7, 'x': 0.629, 'y': 0.445, 'z': -0.044}, {'point_id': 8, 'x': 0.624, 'y': 0.382, 'z': -0.058}, {'point_id': 9, 'x': 0.7, 'y': 0.598, 'z': -0.013}, {'point_id': 10, 'x': 0.682, 'y': 0.474, 'z': -0.026}, {'point_id': 11, 'x': 0.676, 'y': 0.394, 'z': -0.04}, {'point_id': 12, 'x': 0.673, 'y': 0.324, 'z': -0.051}, {'point_id': 13, 'x': 0.737, 'y': 0.602, 'z': -0.021}, {'point_id': 14, 'x': 0.727, 'y': 0.483, 'z': -0.035}, {'point_id': 15, 'x': 0.724, 'y': 0.409, 'z': -0.044}, {'point_id': 16, 'x': 0.722, 'y': 0.341, 'z': -0.052}, {'point_id': 17, 'x': 0.776, 'y': 0.628, 'z': -0.032}, {'point_id': 18, 'x': 0.773, 'y': 0.536, 'z': -0.046}, {'point_id': 19, 'x': 0.773, 'y': 0.474, 'z': -0.05}, {'point_id': 20, 'x': 0.774, 'y': 0.412, 'z': -0.054}], 'gesture_preview': [{'category_name': 'Open_Palm', 'confidence': 0.6}]}]
2026-08-24 00:28:32,502 - __main__ - INFO - Hand Summary: [{'hand_index': 0, 'handedness': 'Left', 'landmark_confidence': 0.96, 'landmarks_preview': [{'point_id': 0, 'x': 0.759, 'y': 0.914, 'z': 0.0}, {'point_id': 1, 'x': 0.695, 'y': 0.879, 'z': -0.024}, {'point_id': 2, 'x': 0.639, 'y': 0.8, 'z': -0.034}, {'point_id': 3, 'x': 0.599, 'y': 0.737, 'z': -0.043}, {'point_id': 4, 'x': 0.566, 'y': 0.682, 'z': -0.052}, {'point_id': 5, 'x': 0.673, 'y': 0.621, 'z': -0.006}, {'point_id': 6, 'x': 0.65, 'y': 0.511, 'z': -0.021}, {'point_id': 7, 'x': 0.64, 'y': 0.444, 'z': -0.037}, {'point_id': 8, 'x': 0.636, 'y': 0.38, 'z': -0.05}, {'point_id': 9, 'x': 0.71, 'y': 0.596, 'z': -0.01}, {'point_id': 10, 'x': 0.692, 'y': 0.471, 'z': -0.02}, {'point_id': 11, 'x': 0.686, 'y': 0.391, 'z': -0.034}, {'point_id': 12, 'x': 0.685, 'y': 0.322, 'z': -0.044}, {'point_id': 13, 'x': 0.747, 'y': 0.6, 'z': -0.018}, {'point_id': 14, 'x': 0.736, 'y': 0.48, 'z': -0.031}, {'point_id': 15, 'x': 0.733, 'y': 0.406, 'z': -0.04}, {'point_id': 16, 'x': 0.731, 'y': 0.338, 'z': -0.048}, {'point_id': 17, 'x': 0.786, 'y': 0.626, 'z': -0.03}, {'point_id': 18, 'x': 0.782, 'y': 0.536, 'z': -0.042}, {'point_id': 19, 'x': 0.781, 'y': 0.474, 'z': -0.047}, {'point_id': 20, 'x': 0.781, 'y': 0.414, 'z': -0.05}], 'gesture_preview': [{'category_name': 'Open_Palm', 'confidence': 0.6}]}]
2026-08-24 00:28:32,853 - __main__ - INFO - Hand Summary: [{'hand_index': 0, 'handedness': 'Left', 'landmark_confidence': 0.96, 'landmarks_preview': [{'point_id': 0, 'x': 0.759, 'y': 0.903, 'z': 0.0}, {'point_id': 1, 'x': 0.697, 'y': 0.865, 'z': -0.023}, {'point_id': 2, 'x': 0.642, 'y': 0.786, 'z': -0.033}, {'point_id': 3, 'x': 0.601, 'y': 0.724, 'z': -0.042}, {'point_id': 4, 'x': 0.568, 'y': 0.672, 'z': -0.05}, {'point_id': 5, 'x': 0.676, 'y': 0.611, 'z': -0.004}, {'point_id': 6, 'x': 0.654, 'y': 0.504, 'z': -0.018}, {'point_id': 7, 'x': 0.645, 'y': 0.439, 'z': -0.034}, {'point_id': 8, 'x': 0.641, 'y': 0.377, 'z': -0.046}, {'point_id': 9, 'x': 0.712, 'y': 0.588, 'z': -0.007}, {'point_id': 10, 'x': 0.696, 'y': 0.466, 'z': -0.017}, {'point_id': 11, 'x': 0.69, 'y': 0.388, 'z': -0.03}, {'point_id': 12, 'x': 0.688, 'y': 0.32, 'z': -0.04}, {'point_id': 13, 'x': 0.749, 'y': 0.593, 'z': -0.016}, {'point_id': 14, 'x': 0.739, 'y': 0.476, 'z': -0.027}, {'point_id': 15, 'x': 0.736, 'y': 0.403, 'z': -0.036}, {'point_id': 16, 'x': 0.734, 'y': 0.337, 'z': -0.044}, {'point_id': 17, 'x': 0.787, 'y': 0.618, 'z': -0.027}, {'point_id': 18, 'x': 0.783, 'y': 0.529, 'z': -0.038}, {'point_id': 19, 'x': 0.783, 'y': 0.469, 'z': -0.042}, {'point_id': 20, 'x': 0.784, 'y': 0.411, 'z': -0.045}], 'gesture_preview': [{'category_name': 'Open_Palm', 'confidence': 0.6}]}]
2026-08-24 00:28:33,204 - __main__ - INFO - Hand Summary: [{'hand_index': 0, 'handedness': 'Left', 'landmark_confidence': 0.95, 'landmarks_preview': [{'point_id': 0, 'x': 0.76, 'y': 0.906, 'z': 0.0}, {'point_id': 1, 'x': 0.698, 'y': 0.869, 'z': -0.024}, {'point_id': 2, 'x': 0.642, 'y': 0.79, 'z': -0.034}, {'point_id': 3, 'x': 0.601, 'y': 0.726, 'z': -0.043}, {'point_id': 4, 'x': 0.569, 'y': 0.67, 'z': -0.051}, {'point_id': 5, 'x': 0.676, 'y': 0.611, 'z': -0.007}, {'point_id': 6, 'x': 0.654, 'y': 0.502, 'z': -0.021}, {'point_id': 7, 'x': 0.644, 'y': 0.436, 'z': -0.037}, {'point_id': 8, 'x': 0.64, 'y': 0.375, 'z': -0.049}, {'point_id': 9, 'x': 0.713, 'y': 0.587, 'z': -0.01}, {'point_id': 10, 'x': 0.697, 'y': 0.465, 'z': -0.02}, {'point_id': 11, 'x': 0.691, 'y': 0.387, 'z': -0.032}, {'point_id': 12, 'x': 0.689, 'y': 0.319, 'z': -0.043}, {'point_id': 13, 'x': 0.749, 'y': 0.592, 'z': -0.017}, {'point_id': 14, 'x': 0.741, 'y': 0.475, 'z': -0.03}, {'point_id': 15, 'x': 0.738, 'y': 0.401, 'z': -0.039}, {'point_id': 16, 'x': 0.736, 'y': 0.335, 'z': -0.047}, {'point_id': 17, 'x': 0.787, 'y': 0.618, 'z': -0.029}, {'point_id': 18, 'x': 0.784, 'y': 0.529, 'z': -0.041}, {'point_id': 19, 'x': 0.784, 'y': 0.469, 'z': -0.046}, {'point_id': 20, 'x': 0.785, 'y': 0.41, 'z': -0.05}], 'gesture_preview': [{'category_name': 'Open_Palm', 'confidence': 0.6}]}]
