timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1783701891.30312,10,15,-18,-9047,221,-14437
1783701891.303405,8,20,5,-9039,143,-14413
1783701891.3036642,-3,4,7,-8940,206,-14449
1783701891.303927,-7,-2,5,-8905,121,-14403
1783701891.3042078,-2,-2,17,-9010,226,-14357
1783701891.304471,-5,-7,4,-8940,257,-14374
1783701891.3047302,-3,10,0,-8936,334,-14474
1783701891.30499,1,19,-6,-8831,168,-14410
1783701891.305259,-4,18,-2,-8829,150,-14480
1783701891.305509,-3,0,8,-8904,129,-14420
1783701891.329143,-10,-14,19,-8997,273,-14345
1783701891.354699,-13,2,21,-8951,175,-14421
1783701891.380167,3,13,3,-9135,253,-14427
1783701891.405758,10,22,-16,-8834,227,-14558
1783701891.437231,-5,9,-1,-8883,159,-14507
1783701891.45714,-11,-6,12,-8812,125,-14363
1783701891.4824908,-4,-2,7,-8836,196,-14489
1783701891.508033,-3,0,14,-8971,277,-14462
1783701891.5338838,6,8,2,-8971,260,-14537
1783701891.559583,3,10,-4,-8999,203,-14412
1783701891.584815,-2,9,-5,-8977,228,-14445
1783701891.610527,6,12,-4,-8862,219,-14525
1783701891.635763,-5,1,3,-8941,280,-14414
1783701891.6614552,3,1,7,-8878,206,-14463
1783701891.687246,-1,-3,15,-9070,323,-14268
1783701891.712972,-6,10,-10,-9024,170,-14439
1783701891.738333,7,5,-10,-8892,239,-14572
1783701891.763903,3,7,-3,-8911,162,-14322
1783701891.7894888,-5,1,10,-8917,230,-14496
1783701891.815291,-17,-6,13,-8910,194,-14598
1783701891.840697,-3,-1,5,-8864,122,-14376
1783701891.866276,2,11,-6,-8953,171,-14508
1783701891.89186,4,15,2,-8910,162,-14519
1783701891.917264,0,9,3,-8812,207,-14500
1783701891.942872,0,-3,3,-9053,213,-14383
1783701891.968456,-6,-1,6,-8985,41,-14416
1783701891.9943209,13,9,-1,-8894,189,-14449
1783701892.0194821,5,4,1,-8885,220,-14525
1783701892.0452979,-5,19,2,-9043,206,-14411
1783701892.070891,-1,0,3,-8964,213,-14613
1783701892.096437,-4,5,10,-8946,174,-14397
1783701892.122421,-12,-10,12,-8914,302,-14391
1783701892.147852,1,-1,7,-8824,258,-14543
1783701892.173239,0,6,-3,-8897,236,-14416
1783701892.1990259,-5,12,-8,-8893,108,-14508
1783701892.224405,3,5,-7,-9078,315,-14524
1783701892.250043,-6,-2,7,-8889,97,-14500
1783701892.2756019,-5,-1,14,-8802,147,-14593
1783701892.301245,-5,-1,6,-8951,189,-14259
1783701892.326609,-3,5,9,-9026,59,-14475
1783701892.352237,-1,3,-2,-8880,130,-14334
1783701892.3776698,2,9,0,-9027,261,-14382
1783701892.403399,-2,5,-4,-8897,221,-14446
1783701892.428789,0,5,8,-8856,171,-14462
1783701892.454411,-1,-2,3,-8968,156,-14388
1783701892.479987,1,-3,5,-9001,231,-14413
1783701892.50558,2,-1,1,-8912,163,-14571
1783701892.53124,0,10,-1,-8857,239,-14401
1783701892.557017,5,15,-8,-9006,183,-14391
1783701892.582229,6,5,14,-8869,262,-14341
1783701892.607977,-6,-4,14,-8858,271,-14581
1783701892.633583,-2,-4,15,-9004,379,-14515
1783701892.659204,-5,13,-1,-8927,249,-14530
1783701892.684779,4,10,-6,-8947,228,-14368
1783701892.710508,4,11,1,-8890,175,-14275
1783701892.735826,-6,3,10,-9070,143,-14550
1783701892.761577,0,-7,10,-8868,290,-14497
1783701892.787227,-8,1,8,-9038,177,-14442
1783701892.812757,4,7,-1,-8840,258,-14525
1783701892.83808,2,9,3,-8965,111,-14464
1783701892.863748,4,1,1,-9007,237,-14424
1783701892.8892102,0,5,5,-8949,107,-14402
1783701892.914798,-2,3,3,-8912,246,-14405
1783701892.940345,4,2,13,-8875,262,-14524
1783701892.965984,-4,2,3,-9005,307,-14342
1783701892.9913468,9,4,0,-8944,63,-14401
1783701893.016945,5,6,2,-8972,379,-14376
1783701893.0425868,-8,4,1,-9054,164,-14293
1783701893.068136,-5,0,7,-8938,230,-14516
1783701893.093725,-8,2,8,-8913,196,-14454
1783701893.119329,0,13,4,-8924,288,-14456
1783701893.14475,1,4,2,-8840,161,-14583
1783701893.170775,88,585,-417,-12233,-3228,-13758
1783701893.196835,357,-331,423,1090,-61,-12073
1783701893.2226062,-95,310,228,-10955,-2093,-13370
1783701893.246737,502,182,243,-3228,-1859,-13665
1783701893.274387,99,140,389,-9480,830,-14713
1783701893.299905,-1,-30,315,-8619,908,-16042
1783701893.325859,48,-202,206,-7447,-94,-15078
1783701893.351615,15,-69,161,-8700,-433,-14730
1783701893.37737,127,230,89,-8448,-530,-15099
1783701893.4031181,107,196,8,-9269,-426,-13916
1783701893.428926,21,-166,124,-10313,407,-13817
1783701893.454839,43,-111,137,-7747,-771,-15161
1783701893.480394,71,401,46,-7578,-370,-13697
1783701893.505994,80,369,17,-8431,287,-14111
1783701893.531949,80,208,-35,-8267,-147,-14897
1783701893.5575721,49,150,4,-8289,-105,-14812
1783701893.5835469,-30,-197,60,-9146,-276,-14884
1783701893.60734,-86,-377,-65,-8540,-322,-15898
1783701893.634815,0,-215,19,-7900,-513,-14648
1783701893.660647,28,-41,122,-8380,-305,-14896
1783701893.686191,64,43,73,-8564,-272,-14707
1783701893.711759,0,83,-24,-8443,580,-14862
1783701893.737767,16,-107,11,-9940,1080,-14289
1783701893.763681,-83,-261,-107,-9134,36,-13702
1783701893.789382,-91,-216,41,-8953,-45,-14466
1783701893.813238,-129,-257,-26,-8908,595,-14579
1783701893.840864,-18,-246,-54,-8709,104,-13940
1783701893.866564,34,-88,122,-8905,-164,-14282
1783701893.89235,44,113,-25,-9059,-50,-14371
1783701893.9181051,-38,-110,-2,-9942,1040,-13837
1783701893.943664,-34,-258,58,-8887,192,-14525
1783701893.969613,16,-163,41,-9206,-111,-14119
1783701893.993632,101,-134,104,-9279,-165,-14255
1783701894.021305,147,-171,87,-9171,-201,-14134
1783701894.0469272,192,-298,281,-6733,-1888,-16619
1783701894.072993,336,680,255,32767,-7349,6094
1783701894.0970292,484,1057,737,-4378,4617,-32768
1783701894.124753,853,4108,1040,27411,-1931,-10097
1783701894.150899,844,2808,1831,-16739,4412,-18351
1783701894.1769311,462,858,1389,880,-2873,-14477
1783701894.2027378,1990,2763,1747,1140,-6841,-11811
1783701894.2288709,-595,-7630,-231,-2260,12077,-10508
1783701894.254976,-575,-5917,-3083,-18452,-2393,-23424
1783701894.280877,121,-2194,811,-7476,-2712,-12925
1783701894.306763,468,675,37,-16248,1064,-10217
1783701894.33276,504,1307,-219,-10031,-2404,-12037
1783701894.358496,430,1517,-233,-10877,395,-13393
1783701894.3827379,420,1004,-200,-12072,16,-13736
1783701894.410357,141,-133,155,-9081,-1634,-14239
1783701894.434536,112,360,-47,-8903,-1203,-14302
1783701894.4620411,58,764,-5,-8643,-1174,-14443
1783701894.4860249,-66,861,11,-10225,-1450,-13773
1783701894.513773,-266,596,-111,-7998,-1184,-14685
1783701894.539519,-296,604,-89,-8171,-1238,-15145
1783701894.565336,-396,507,-185,-7745,-923,-14701
1783701894.591249,-337,434,-136,-7318,-818,-15455
1783701894.6153579,-365,327,-16,-6854,-663,-15347
1783701894.6429281,-497,111,-197,-7197,-790,-15637
1783701894.6670232,-494,56,-222,-7177,-278,-15367
1783701894.694452,-366,171,-320,-6555,1365,-16071
1783701894.7207098,102,352,-76,-7188,-329,-15429
1783701894.744477,-195,41,-138,-7011,-731,-15588
1783701894.7721229,-303,-214,-148,-6842,-166,-15537
1783701894.7978492,-182,-165,-51,-7032,-384,-15390
1783701894.823749,35,-77,43,-7094,-313,-15415
1783701894.849511,-52,-125,20,-6971,-313,-15746
1783701894.8751512,-237,-174,-64,-7034,-231,-15329
1783701894.900689,31,15,13,-7266,-36,-15151
1783701894.926448,151,72,192,-7125,57,-15653
1783701894.9521978,-95,21,25,-7159,-72,-15439
1783701894.978019,-187,34,-16,-6988,-26,-15552
1783701895.0037692,-111,151,-25,-7055,26,-15508
1783701895.029396,-5,234,19,-6876,-17,-15671
1783701895.0550988,38,211,26,-6820,-107,-15919
1783701895.0806909,-18,132,2,-6925,-31,-15797
